"Canonical_Employer_Key","Employer_Display_Name","Canonical_Industry","Record_Count","Original_Name_Count","Original_Key_Count","Original_Industry_Count","Original_Names","Original_Keys","Original_Industries"
"NEYER PROPERTIES","Neyer Properties, Inc","Real Estate","16","1","1","1","Neyer Properties, Inc","NEYER PROPERTIES","Real Estate"
"TIER1 PERFORMANCE","TiER1 Performance","Management Consulting","16","1","1","2","TiER1 Performance","TIER1 PERFORMANCE","Management Consulting | Sports & Leisure"
"ESSILORLUXOTTICA","EssilorLuxottica","Retail Stores","15","1","1","1","EssilorLuxottica","ESSILORLUXOTTICA","Retail Stores"
"FLAGEL HUBER FLAGEL","Flagel Huber Flagel","Accounting","15","1","1","1","Flagel Huber Flagel","FLAGEL HUBER FLAGEL","Accounting"
"GIVAUDAN TASTE AND WELLBEING","Givaudan Taste & Wellbeing","Manufacturing","15","1","1","1","Givaudan Taste & Wellbeing","GIVAUDAN TASTE AND WELLBEING","Manufacturing"
"ILSCO","ILSCO Corp","Manufacturing","15","2","1","1","ILSCO | ILSCO Corp","ILSCO","Manufacturing"
"MARATHON PETROLEUM","Marathon Petroleum Company","Oil & Gas","15","1","1","1","Marathon Petroleum Company","MARATHON PETROLEUM","Oil & Gas"
"MASSMUTUAL ASCEND","MassMutual Ascend","Financial Services","15","1","1","1","MassMutual Ascend","MASSMUTUAL ASCEND","Financial Services"
"MCGOHAN BRABENDER","McGohan Brabender","Insurance","15","1","1","1","McGohan Brabender","MCGOHAN BRABENDER","Insurance"
"NIELSEN","Nielsen","Research","15","2","2","3","Nielsen | The Nielsen Company","NIELSEN | THE NIELSEN","Internet & Software | Research | Retail Stores"
"PERFETTI VAN MELLE","Perfetti Van Melle","Food & Beverage","15","1","1","1","Perfetti Van Melle","PERFETTI VAN MELLE","Food & Beverage"
"SIEMENS DIGITAL INDUSTRIES SOFTWARE","Siemens Digital Industries Software","Internet & Software","15","1","1","1","Siemens Digital Industries Software","SIEMENS DIGITAL INDUSTRIES SOFTWARE","Internet & Software"
"HILLMAN GROUP","The Hillman Group","Manufacturing","15","1","1","1","The Hillman Group","THE HILLMAN GROUP","Manufacturing"
"UBS FINANCIAL SERVICES","UBS Financial Services","Investment / Portfolio Management","15","1","1","1","UBS Financial Services","UBS FINANCIAL SERVICES","Investment / Portfolio Management"
"AMERITAS LIFE INSURANCE","Ameritas Life Insurance Corp","Insurance","14","1","1","1","Ameritas Life Insurance Corp","AMERITAS LIFE INSURANCE","Insurance"
"JBM PACKAGING","JBM Packaging Company","Manufacturing","14","1","1","1","JBM Packaging Company","JBM PACKAGING","Manufacturing"
"KELLOGGS","Kellogg's","Food & Beverage","14","1","1","1","Kellogg's","KELLOGGS","Food & Beverage"
"MCM CPAS AND ADVISORS","MCM CPAs & Advisors LLP","Accounting","14","1","1","1","MCM CPAs & Advisors LLP","MCM CPAS AND ADVISORS","Accounting"
"MEGACORP LOGISTICS","MegaCorp Logistics LLC","Transportation & Logistics","14","1","1","1","MegaCorp Logistics LLC","MEGACORP LOGISTICS","Transportation & Logistics"
"SCREENEZE","SCREENEZE","Wholesale Trade","14","1","1","1","SCREENEZE","SCREENEZE","Wholesale Trade"
"STATE FARM","State Farm","Insurance","14","1","1","1","State Farm","STATE FARM","Insurance"
"HERSHEY","The Hershey Company","Food & Beverage","14","2","2","1","Hershey | The Hershey Company","HERSHEY | THE HERSHEY","Food & Beverage"
